state,RCpriceMarkup
AL,1.65916152551743
AR,1.35816244365187
AZ,1.48698487376438
CA,1.13760963709016
CO,1.0860054808055
CT,1.63229181353038
DC,1.58263406406655
DE,1.56089431830876
FL,1.26680260455492
GA,1.55878781626402
IA,1.15172899015249
ID,1.36083408158787
IL,1.2740158256026
IN,1.36468161843521
KS,1.25776925449008
KY,1.34778588388151
LA,1.4175761767992
MA,1.76753657294256
MD,1.4844774530457
ME,1.6027076456501
MI,1.24073187241213
MN,1.40695808574701
MO,1.30346866176629
MS,1.34849714981049
MT,1.25537226086521
NC,1.53313588577909
ND,1.25430726998316
NE,1.23347112088501
NH,1.73299566540488
NJ,1.48775837411281
NM,1.17939824978076
NV,1.18018667011741
NY,1.52321484990705
OH,1.34559103664834
OK,1.21677582786744
OR,1.53522978734974
PA,1.64793849811748
RI,1.69784850162209
SC,1.47097619260299
SD,1.29536226026142
TN,1.37130014316552
TX,1.15982883368756
UT,1.17263295180858
VA,1.51923005450319
VT,1.69978407575732
WA,1.38653516888843
WI,1.34805912698934
WV,1.487588858119
WY,1.18299072943095
