gas_zone,period,BuildLNGLiquefactionCap,LNGLiqefactionCapacity
AL,2023,0,1.75104e+07
AR,2023,0,921600
AZ,2023,0,2.02752e+07
CA,2023,0,0
CO,2023,0,0
CT,2023,0,1.65888e+07
DC,2023,0,0
DE,2023,0,1.3824e+06
FL,2023,0,5.36924e+07
GA,2023,0,2.7648e+07
IA,2023,0,2.11968e+07
ID,2023,0,3.6864e+06
IL,2023,0,9.216e+06
IN,2023,0,2.71872e+07
KS,2023,0,0
KY,2023,0,0
LA,2023,0,2.67264e+06
MA,2023,0,2.304e+07
MD,2023,0,5.2992e+06
ME,2023,0,0
MI,2023,0,0
MN,2023,0,2.94912e+07
MO,2023,0,0
MS,2023,0,0
MT,2023,0,0
NC,2023,0,4.90291e+07
ND,2023,0,0
NE,2023,0,5.5296e+06
NH,2023,4681.81,4681.81
NJ,2023,0,2.69107e+07
NM,2023,0,0
NV,2023,0,4.608e+06
NY,2023,0,1.79712e+07
OH,2023,0,0
OK,2023,0,0
OR,2023,0,7.3728e+06
PA,2023,0,3.87072e+07
RI,2023,0,1.8432e+07
SC,2023,0,5.5296e+06
SD,2023,0,0
TN,2023,0,2.35008e+07
TX,2023,0,3.60069e+07
UT,2023,0,7.55712e+06
VA,2023,0,5.5296e+06
VT,2023,0,0
WA,2023,0,3.00902e+07
WI,2023,0,9.216e+06
WV,2023,0,0
WY,2023,0,0
