gas_zone,period,BuildLNGVaporizationCap,LNGVaporizationCapacity
AL,2023,0,195606
AR,2023,0,34560
AZ,2023,0,77760
CA,2023,0,59748.5
CO,2023,0,0
CT,2023,5225.25,338345
DC,2023,0,0
DE,2023,0,48000
FL,2023,0,9600
GA,2023,0,2.81184e+06
IA,2023,0,406656
ID,2023,0,75840
IL,2023,0,288000
IN,2023,0,556800
KS,2023,0,0
KY,2023,0,0
LA,2023,0,7.29734e+06
MA,2023,982627,2.63388e+06
MD,2023,0,2.02752e+06
ME,2023,34704,67344
MI,2023,0,0
MN,2023,0,602880
MO,2023,0,0
MS,2023,0,1.44e+06
MT,2023,0,1920
NC,2023,0,1.1712e+06
ND,2023,0,3225.6
NE,2023,0,69350.4
NH,2023,0,18240
NJ,2023,0,772992
NM,2023,0,0
NV,2023,0,100800
NY,2023,0,614400
OH,2023,0,0
OK,2023,0,0
OR,2023,0,211200
PA,2023,0,2.42534e+07
RI,2023,77246,256766
SC,2023,0,144000
SD,2023,0,0
TN,2023,0,547200
TX,2023,0,3.38112e+06
UT,2023,0,144000
VA,2023,0,144000
VT,2023,227558,227558
WA,2023,0,371232
WI,2023,0,184320
WV,2023,0,0
WY,2023,0,9216
