component,npv_cost
GeneralGlFixedCosts,924888192.1931205
DirectionalGlFixedCosts,1019881972.085633
GasStorageFixedCosts,7200955.278981816
GasWellFixedCosts,111424116749.3753
LNGStorageFixedCosts,0
LNGLiquefactionFixedCosts,21642.67938359275
LNGVaporizationFixedCosts,2627453.580302865
RelaxCost,0
DisposalCost,12647127133.65016
LNGShippingCostsPerTP,29864677.00879452
GasProdCostsPerTP,26039546792.35864
TransmissionCostsPerTP,35449947855.53368
StorageCostsPerTP,1128542589.161172
LNGLiquefactionCostsPerTP,4250326.472379425
LNGRegasificationCostsPerTP,14808567.77461022
DR_Welfare_Cost,-2787224429.848091
