gas_zone,storage_type,period,gas_storage_new_build_cap,gas_storage_total_cap
AL,aquifer,2023,0,0
AL,depleted field,2023,0,1.16144e+07
AL,salt cavern,2023,0,2.27622e+07
AR,aquifer,2023,0,0
AR,depleted field,2023,0,9.22308e+06
AR,salt cavern,2023,0,0
AZ,aquifer,2023,0,0
AZ,depleted field,2023,0,0
AZ,salt cavern,2023,0,0
CA,aquifer,2023,0,0
CA,depleted field,2023,0,3.34814e+08
CA,salt cavern,2023,0,0
CO,aquifer,2023,0,0
CO,depleted field,2023,0,7.56585e+07
CO,salt cavern,2023,0,0
DE,aquifer,2023,0,0
FL,aquifer,2023,0,0
FL,depleted field,2023,1.1496e+06,1.1496e+06
FL,salt cavern,2023,2.65087e+06,2.65087e+06
GA,aquifer,2023,0,0
IA,aquifer,2023,0,9.36546e+07
ID,aquifer,2023,0,0
ID,depleted field,2023,0,0
ID,salt cavern,2023,0,0
IL,aquifer,2023,0,2.59774e+08
IL,depleted field,2023,0,5.52804e+07
IN,aquifer,2023,0,1.99529e+07
IN,depleted field,2023,0,1.35152e+07
KS,aquifer,2023,0,0
KS,depleted field,2023,0,1.27532e+08
KS,salt cavern,2023,-1.16529e-10,-1.16529e-10
KY,aquifer,2023,0,9.57047e+06
KY,depleted field,2023,0,1.02007e+08
LA,aquifer,2023,0,0
LA,depleted field,2023,0,3.12667e+08
LA,salt cavern,2023,0,1.5826e+08
MD,aquifer,2023,0,0
MD,depleted field,2023,0,1.89771e+07
MD,salt cavern,2023,0,0
MI,aquifer,2023,0,0
MI,depleted field,2023,0,7.06861e+08
MI,salt cavern,2023,0,2.24096e+06
MN,aquifer,2023,0,2.074e+06
MO,aquifer,2023,0,3.79127e+06
MO,depleted field,2023,0,0
MS,aquifer,2023,0,0
MS,depleted field,2023,0,7.14607e+07
MS,salt cavern,2023,0,1.37523e+08
MT,aquifer,2023,0,0
MT,depleted field,2023,0,2.04784e+08
MT,salt cavern,2023,0,0
NC,aquifer,2023,0,0
ND,aquifer,2023,0,0
ND,depleted field,2023,0,0
ND,salt cavern,2023,0,0
NE,aquifer,2023,0,0
NE,depleted field,2023,0,1.31212e+07
NE,salt cavern,2023,0,0
NJ,aquifer,2023,0,0
NM,aquifer,2023,0,0
NM,depleted field,2023,0,6.19483e+07
NM,salt cavern,2023,0,0
NV,aquifer,2023,0,0
NV,depleted field,2023,0,0
NV,salt cavern,2023,0,0
NY,aquifer,2023,0,0
NY,depleted field,2023,0,1.28224e+08
NY,salt cavern,2023,0,1.50365e+06
OH,aquifer,2023,0,0
OH,depleted field,2023,0,2.51013e+08
OH,salt cavern,2023,0,0
OK,aquifer,2023,0,32147
OK,depleted field,2023,0,2.05212e+08
OK,salt cavern,2023,0,0
OR,aquifer,2023,0,0
OR,depleted field,2023,0,2.23474e+07
PA,aquifer,2023,0,972706
PA,depleted field,2023,0,4.41127e+08
PA,salt cavern,2023,0,0
SC,aquifer,2023,0,0
SD,aquifer,2023,0,0
SD,depleted field,2023,0,0
SD,salt cavern,2023,219948,219948
TN,aquifer,2023,0,0
TN,depleted field,2023,0,1.8666e+06
TX,aquifer,2023,0,0
TX,depleted field,2023,0,3.92979e+08
TX,salt cavern,2023,0,1.79242e+08
UT,aquifer,2023,0,1.0287e+06
UT,depleted field,2023,0,5.59461e+07
UT,salt cavern,2023,0,0
VA,aquifer,2023,0,0
VA,depleted field,2023,0,1.4518e+06
VA,salt cavern,2023,0,3.66061e+06
WA,aquifer,2023,0,2.55102e+07
WI,aquifer,2023,0,0
WI,salt cavern,2023,0,0
WV,aquifer,2023,0,68442
WV,depleted field,2023,0,2.7951e+08
WV,salt cavern,2023,0,0
WY,aquifer,2023,0,866932
WY,depleted field,2023,0,7.61791e+07
WY,salt cavern,2023,0,0
